name,description,source,link,categories,tags,format,publish
Federal Data Strategy Principles,,,https://strategy.data.gov/principles/,Policy,,,true
Federal Data Strategy Practices,,,https://strategy.data.gov/practices/,Policy,,,true
Federal Data Strategy Action Plan,,,https://strategy.data.gov/action-plan/,Policy,,,true
How to get your Open Data on Data.gov.,,,https://resources.data.gov/tools/how-to-get-your-open-data-on-datagov/,Workforce development,open data,,true
Inventory.data.gov Guide.,,,https://resources.data.gov/tools/inventory-data-gov-guide/,Workforce development,"Data inventory, Data management",,true
DCAT-US Schema v1.1.,(Project Open Data Metadata Schema) currently used in Data.gov,,https://resources.data.gov/schemas/dcat-us/v1.1/,Data Management & Goverance,"open data,Data schema",,true
Glossary of terms used in Project Open Data Metadata Schema.,,,https://resources.data.gov/tools/glossary/,Data Management & Goverance,"open data,Data schema,Data standards",,true
Field Mapping of fields under the Project Open Data Metadata Schema.,,,https://project-open-data.cio.gov/v1.1/metadata-resources/#field-mappings,Data Management & Goverance,"open data,Data standards,Data schema",,true
GitHub repository for Project Open Data.,,,https://github.com/project-open-data,Hands-on,open data,Software tool,true
Inventory.data.gov ,a tool for federal agencies to create and publish metadata catalogs.,,https://inventory.data.gov/,Hands-on,"Data schema,Data management,Data inventory",Software tool,true
CKAN.,"a powerful data management system that makes data accessible – by providing tools to streamline publishing, sharing, finding and using data",,https://ckan.org/,Hands-on,"Data schema,Data management,Data inventory",Software tool,true
JSON Validator ,is used to check your agency’s data.json against required federal metadata schema.,,https://labs.data.gov/dashboard/validate,Hands-on,Data validation,Software tool,true
JSON to CSV converter.,,,https://konklone.io/json/,Hands-on,Data converters,Software tool,true
CSV to JSON converter.,,,https://labs.data.gov/dashboard/datagov/csv_to_json,Hands-on,Data converters,Software tool,true
Guidance to support the use of the Project Open Data metadata to list agency datasets and application programming interfaces (APIs) as hosted at agency.gov/data.,,,https://resources.data.gov/schemas/dcat-us/v1.1/#what-to-document--datasets-and-web-apis,Regulation & Compliance,"Data schema,Data standards",,true
Open Data Communities.,,,https://resources.data.gov/open-data-communities/,CoP,open data,,true
Government Data Hubs.,,,https://project-open-data.cio.gov/data-hubs/,Case studies,open data,,true
How to Get Your Agency’s Data on to Data.gov (video).,,,https://www.youtube.com/watch?v=hbxA5-GDvvU,Workforce development,open data,,true
