slug,summary,description,case_studies,categories,format,tags,get_started,publish
reval,ReVAL (Reusable Validation & Aggregation Library) is a Django App for validating and aggregating data via API and web interface.,"USDA FNS uses ReVAL to implement their Data Validation Service tool for validating data from FNS-742 form submissions.  Each year state agencies report these data for each School Food Authority (SFA) with schools operating the National School Lunch Programs (NSLP) and/or the School Breakfast Program (SBP).<br/><br/>The Census Bureau uses ReVAL to explore an implementation to check Commodity Flow Survey (CFS) Data.  These CFS data are used by policy makers and transportation planners in various federal, state, and local agencies for assessing the demand for transportation facilities and services, energy use, and safety risk and environmental concerns.<br/><br/>The Department of Transportation uses ReVAL to validate Work Zone Data by validating it against the Work Zone Data Exchange (WZDx) Specification.  The Work Zone Data Exchange (WZDx) Specification enables infrastructure owners and operators (IOOs) to make harmonized work zone data available for third party use. The intent is to make travel on public roads safer and more efficient through ubiquitous access to data on work zone activity. Specifically, the project aims to get data on work zones into vehicles to help automated driving systems (ADS) and human drivers navigate more safely.",(only generate this section and links to case studies if this has the case studies tag),Hands-on,Software tool,"API, web interface, data aggregation, Python, data validation",[Source code](https://github.com/18F/ReVAL),true
project-open-data,GitHub repository for Project Open Data.,,,Hands-on,Software tool,open data,https://github.com/project-open-data,
inventory-data-gov,Inventory.data.gov is a tool for federal agencies to create and publish metadata catalogs.,,,Hands-on,Software tool,"Data schema,Data management,Data inventory",https://inventory.data.gov/,
ckan,"CKAN is a powerful data management system that makes data accessible – by providing tools to streamline publishing, sharing, finding and using data.",,,Hands-on,Software tool,"Data schema,Data management,Data inventory",https://ckan.org/,
json-validator,JSON Validator is used to check your agency’s data.json against required federal metadata schema.,,,Hands-on,Software tool,Data validation,https://labs.data.gov/dashboard/validate,
json-to-csv,JSON to CSV converter.,,,Hands-on,Software tool,Data converters,https://konklone.io/json/,
csv-to-json,CSV to JSON converter.,,,Hands-on,Software tool,Data converters,https://labs.data.gov/dashboard/datagov/csv_to_json,
database-to-api,"Database to API turns a Database into a Secure, RESTful API.",,,Hands-on,Software tool,API,https://github.com/project-open-data/db-to-api,
csv-to-api,CSV to API generator is a proof of concept to dynamically generate RESTful APIs from static CSVs.,,,Hands-on,Software tool,API,https://github.com/project-open-data/csv-to-api,
api-all-the-x,/Developer program provides support to agencies engaged in the production or use of APIs.,,,Hands-on,Software tool,API,https://18f.github.io/API-All-the-X/,
geoportal,"Geoportal Server is a standards-based, open source product that enables discovery and use of geospatial resources including data and services.",,,Hands-on,Software tool,Geospatial,https://github.com/Esri/geoportal-server/,
pycsw,pycsw is an OGC CSW server implementation written in Python.,,,Hands-on,Software tool,Geospatial,https://pycsw.org/,
geonode,"GeoNode is a web-based application and platform for developing geospatial information systems (GIS) and for deploying spatial data infrastructures (SDI). It is designed to be extended and modified, and can be integrated into existing platforms.",,,Hands-on,Software tool,Geospatial,http://geonode.org/,
esri-to-open,"Repository is an ESRI toolbox and tool(s) that export ESRI Feature Classes to open data formats, CSV, JSON, and GeoJSON.",,,Hands-on,Software tool,Geospatial,https://github.com/project-open-data/esri2open,
spatialsearch,"SpatialSearch is a RESTful API that allows the user to query geographic entities by latitude and longitude, and extract data.",,,Hands-on,Software tool,Geospatial,https://github.com/project-open-data/SpatialSearch,
dkan,DKAN is a Drupal based open data platform.,,,Hands-on,Software tool,open data,https://www.drupal.org/project/dkan,
datavizwiz,Data Visualization wizard.,,,Hands-on,Software tool,Data viz,https://www.drupal.org/project/datavizwiz,
qu,qu is a data platform created to serve public data sets. This is a public domain work of the US Government.,,,Hands-on,Software tool,open data,https://github.com/cfpb/qu,
tabula,Tabula is a tool for liberating data tables locked inside PDF files.,,,Hands-on,Software tool,Data cleaning,https://tabula.technology/,
hmda-tools,HMDA tools import and analyze mortgage application data.,,,Hands-on,Software tool,Data analytics,https://github.com/cfpb/hmda-tools,
